Date,Time,Key,type,IncidentAddress
1/14/19,22.22,2,Tortured,331 EAST 132 STREET
1/14/19,16.24,3,No Shelter,51-20 65 STREET
1/14/19,15.05,3,No Shelter,166 DEAN STREET
1/14/19,12.22,4,Chained,101-29 97 STREET
1/14/19,23.09,0,Other (complaint details),1550 EAST 102 STREET
1/14/19,19.06,1,Neglected,
1/14/19,9.06,1,Neglected,1420 CLAY AVENUE
1/14/19,11.13,1,Neglected,3257 BRUCKNER BOULEVARD
1/15/19,15.41,2,Tortured,141-23 85 ROAD
1/15/19,10.15,1,Neglected,
1/15/19,20.27,1,Neglected,40-08 VERNON BOULEVARD
1/15/19,13.2,0,Other (complaint details),311 PATCHEN AVENUE
1/15/19,12.19,0,Other (complaint details),90-26 78 STREET
1/15/19,21.38,1,Neglected,695 10 AVENUE
1/15/19,0.55,3,No Shelter,
1/15/19,19.36,0,Other (complaint details),258-35 147 AVENUE
1/15/19,18.3,1,Neglected,178-06 EDGERTON ROAD
1/15/19,20.25,1,Neglected,30-34 47 STREET
1/15/19,8.43,4,Chained,91 WARREN STREET
1/15/19,13.18,1,Neglected,108-64 52 AVENUE
1/15/19,8.43,0,Other (complaint details),
1/15/19,8.59,1,Neglected,
1/15/19,13.37,2,Tortured,901 ANDERSON AVENUE
1/15/19,10.47,1,Neglected,98-08 35 AVENUE
1/15/19,18.39,2,Tortured,2323 BATCHELDER STREET
1/15/19,10.47,5,In Car,232 CLOVE ROAD
1/15/19,10.47,0,Other (complaint details),63-51 AUSTIN STREET
1/15/19,19.52,3,No Shelter,172-19 BAISLEY BOULEVARD
1/15/19,10.22,0,Other (complaint details),4259 KATONAH AVENUE
1/15/19,22.17,1,Neglected,580 FLATBUSH AVENUE
1/15/19,22.56,1,Neglected,504 MYRTLE AVENUE
1/15/19,22.39,0,Other (complaint details),695 10 AVENUE
1/15/19,16.17,1,Neglected,4-03 ASTORIA BOULEVARD
1/15/19,17.28,1,Neglected,1600 TOMLINSON AVENUE
1/15/19,10.01,1,Neglected,110 ANDERSON AVENUE
1/15/19,11.33,0,Other (complaint details),22 KELL AVENUE
1/16/19,11.26,3,No Shelter,465 CORBIN AVENUE
1/16/19,15.56,1,Neglected,
1/16/19,12.45,0,Other (complaint details),509 EAST 4 STREET
1/16/19,11.52,4,Chained,BAYRIDGE AVENUE
1/16/19,5.39,1,Neglected,332 HART STREET
1/16/19,7.44,4,Chained,2800 PARKVIEW TERRACE
1/16/19,16.29,0,Other (complaint details),400 CONVENT AVENUE
1/16/19,14.57,0,Other (complaint details),22-24 33 STREET
1/16/19,16.18,1,Neglected,1554 HONE AVENUE
1/16/19,10.16,1,Neglected,504 EAST 4 STREET
1/16/19,14.17,1,Neglected,1256 76 STREET
1/16/19,12.53,0,Other (complaint details),170-16 PIGEON MEADOW ROAD
1/16/19,8.49,1,Neglected,101 TARGEE STREET
1/16/19,8.19,2,Tortured,39 ST NICHOLAS AVENUE
1/16/19,14.45,3,No Shelter,8-03 COLLEGE POINT BOULEVARD
1/16/19,15.33,0,Other (complaint details),
1/16/19,18.34,3,No Shelter,525 BEACH 44 STREET
1/16/19,23.55,1,Neglected,
1/16/19,22.52,1,Neglected,2185 GRAND CONCOURSE
1/16/19,20.46,3,No Shelter,67 FRASER STREET
1/16/19,15.09,0,Other (complaint details),87-14 155 STREET
1/16/19,19.45,0,Other (complaint details),2140 HOMER AVENUE
1/16/19,13.11,1,Neglected,14 UNION AVENUE
1/16/19,8.39,1,Neglected,147 AMADOR STREET
1/16/19,15.32,3,No Shelter,25 ROMA AVENUE
1/16/19,23.29,1,Neglected,551 WEST 170 STREET
1/16/19,16.12,1,Neglected,37-25 81 STREET
1/16/19,17.39,1,Neglected,63-60 102 STREET
1/16/19,23.59,1,Neglected,711 HARDING PARK
1/17/19,16.36,1,Neglected,140-06 CHERRY AVENUE
1/17/19,19.31,2,Tortured,14-50 GATEWAY BOULEVARD
1/17/19,18.17,0,Other (complaint details),7518 AVENUE X
1/17/19,21.09,3,No Shelter,219-21 143 ROAD
1/17/19,12.49,0,Other (complaint details),1051 ELDER AVENUE
1/17/19,16.08,1,Neglected,79-40 78 AVENUE
1/17/19,12.06,1,Neglected,
1/17/19,18.02,3,No Shelter,580 FLATBUSH AVENUE
1/17/19,10.32,0,Other (complaint details),104-18 133 STREET
1/17/19,7.53,0,Other (complaint details),
1/17/19,8.55,1,Neglected,
1/17/19,10.22,0,Other (complaint details),4022 6 AVENUE
1/17/19,10.04,1,Neglected,473 WEST 158 STREET
1/17/19,9.36,1,Neglected,3063 HULL AVENUE
1/17/19,12.54,1,Neglected,14-10 NEW HAVEN AVENUE
1/17/19,10.47,2,Tortured,4022 6 AVENUE
1/17/19,3.16,2,Tortured,69-41 78 STREET
1/17/19,13.18,0,Other (complaint details),101 TARGEE STREET
1/17/19,12.28,0,Other (complaint details),494 EAST 138 STREET
1/17/19,22.51,5,In Car,
1/17/19,17.03,0,Other (complaint details),219-21 143 ROAD
1/17/19,20.22,1,Neglected,5707 HUXLEY AVENUE
1/17/19,16.51,1,Neglected,1819 WEST FARMS ROAD
1/17/19,20.07,1,Neglected,97-28 107 STREET
1/17/19,14.5,1,Neglected,700 ROSEWOOD STREET
1/18/19,12.04,1,Neglected,148-16 11 AVENUE
1/18/19,23.48,1,Neglected,110 RAVENHURST AVENUE
1/18/19,15.49,0,Other (complaint details),5380 AMBOY ROAD
1/18/19,11.43,1,Neglected,544 WEST 53 STREET
1/18/19,1.05,2,Tortured,572 WARREN STREET
1/18/19,16,1,Neglected,1103 BROADWAY
1/18/19,12.18,1,Neglected,1256 76 STREET
1/18/19,10.58,4,Chained,345 WEST 29 STREET
1/18/19,13.4,1,Neglected,365 KNICKERBOCKER AVENUE
1/18/19,11.44,1,Neglected,13-62 GIPSON STREET
1/18/19,9.29,3,No Shelter,
1/18/19,10.04,1,Neglected,953 NEWKIRK AVENUE
1/18/19,7.46,0,Other (complaint details),580 FLATBUSH AVENUE
1/18/19,11.28,0,Other (complaint details),14-29 128 STREET
1/18/19,15.31,2,Tortured,107 SOUTH 8 STREET
1/18/19,7.57,1,Neglected,118 INDIANA PLACE
1/18/19,13.48,1,Neglected,1666 BAYRIDGE AVENUE
1/18/19,7.55,3,No Shelter,271 EAST 16 STREET
1/18/19,8.1,1,Neglected,101 TARGEE STREET
1/18/19,11.41,1,Neglected,115-45 200 STREET
1/18/19,17.44,3,No Shelter,104-20 124 STREET
1/18/19,21.26,1,Neglected,109 MAC DOUGAL STREET
1/18/19,15.04,0,Other (complaint details),1075 CASTLETON AVENUE
1/18/19,19.48,1,Neglected,387 VAN SICLEN AVENUE
1/18/19,17,3,No Shelter,168-23 119 AVENUE
1/19/19,13.01,5,In Car,
1/19/19,9.17,1,Neglected,854 SWINTON AVENUE
1/19/19,16.49,2,Tortured,
1/19/19,10.58,1,Neglected,494 EAST 138 STREET
1/19/19,10.07,1,Neglected,197 ROCKAWAY AVENUE
1/19/19,20.12,1,Neglected,378 EAST 138 STREET
1/19/19,8.37,1,Neglected,42-22 ELBERTSON STREET
1/19/19,11.59,1,Neglected,240 EAST 82 STREET
1/19/19,15.18,0,Other (complaint details),135-02 NORTHERN BOULEVARD
1/19/19,7.21,0,Other (complaint details),954 EAST 99 STREET
1/19/19,18.04,0,Other (complaint details),25-18 96 STREET
1/19/19,19.31,3,No Shelter,110 RAVENHURST AVENUE
1/19/19,17.34,1,Neglected,5380 AMBOY ROAD
